0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.69,-0.20,0.00,0.00,0.00
-0.69,0.06,-0.12,287.03,170.23,180.04,-0.93,0.02,-0.10,286.12,191.59,170.40
-0.69,0.06,-0.12,287.03,170.23,180.04,-0.93,0.02,-0.10,286.12,191.59,170.40
-0.69,0.06,-0.12,287.03,170.23,180.04,-0.93,0.02,-0.10,286.12,191.59,170.40
-0.69,0.06,-0.12,287.47,170.16,180.08,-0.93,0.02,-0.10,286.69,191.48,170.60
-0.69,0.06,-0.12,287.49,170.12,180.15,-0.93,0.02,-0.10,286.92,191.57,170.53
-0.69,0.06,-0.12,287.52,170.35,179.93,-0.93,0.02,-0.10,287.26,191.56,170.61
-0.70,0.06,-0.12,287.67,171.09,179.16,-0.93,0.02,-0.10,287.82,192.08,170.15
-0.70,0.06,-0.12,288.03,171.05,179.16,-0.93,0.02,-0.11,289.00,192.09,170.17
-0.70,0.06,-0.12,288.10,171.47,178.74,-0.93,0.02,-0.11,291.58,191.51,170.80
-0.70,0.06,-0.12,287.91,172.15,178.07,-0.94,0.02,-0.11,298.61,191.09,171.92
-0.69,0.06,-0.12,287.68,172.89,177.29,-0.94,0.02,-0.13,310.52,194.79,170.48
-0.70,0.06,-0.12,287.71,172.90,177.21,-0.94,0.03,-0.21,301.70,189.23,177.22
-0.70,0.06,-0.12,287.58,172.57,177.48,-0.93,0.04,-0.36,290.17,193.43,166.02
-0.70,0.06,-0.12,287.25,173.06,176.85,-0.90,0.07,-0.50,282.78,183.02,166.15
-0.70,0.06,-0.12,287.31,172.65,177.22,-0.88,0.11,-0.59,273.65,141.65,203.12
-0.70,0.06,-0.12,287.63,172.14,177.61,-0.88,0.12,-0.63,276.20,321.09,27.46
-0.70,0.06,-0.12,288.38,170.66,178.78,-0.87,0.09,-0.65,275.19,259.64,86.55
-0.70,0.05,-0.13,292.88,164.74,184.35,-0.86,0.06,-0.66,283.13,177.93,168.26
-0.70,0.05,-0.13,302.96,162.40,187.81,-0.86,0.06,-0.66,284.27,173.15,172.40
-0.69,0.06,-0.15,325.09,165.10,185.83,-0.86,0.05,-0.66,285.00,171.65,173.76
-0.67,0.09,-0.23,342.45,163.78,179.75,-0.86,0.05,-0.66,284.68,171.95,173.46
-0.68,0.07,-0.42,317.83,170.10,172.83,-0.86,0.05,-0.66,284.30,175.23,170.20
-0.65,0.06,-0.66,294.03,162.33,178.87,-0.86,0.05,-0.66,284.26,176.33,169.09
-0.64,0.10,-0.87,280.86,133.25,214.31,-0.86,0.05,-0.66,284.33,176.62,168.78
-0.64,0.18,-1.05,279.72,54.83,305.39,-0.86,0.05,-0.66,284.27,176.57,168.94
-0.65,0.15,-1.09,278.89,72.81,285.36,-0.86,0.04,-0.66,284.40,175.71,170.07
-0.66,0.11,-1.11,275.22,28.33,329.24,-0.86,0.04,-0.66,285.37,176.87,169.08
-0.67,0.06,-1.14,281.95,170.53,188.05,-0.86,0.04,-0.67,289.06,177.86,168.23
-0.67,0.06,-1.14,284.95,178.60,180.42,-0.86,0.04,-0.68,302.95,179.55,170.34
-0.67,0.06,-1.14,285.01,179.62,179.03,-0.87,0.05,-0.70,328.26,186.49,167.30
-0.67,0.06,-1.14,285.43,182.89,174.99,-0.88,0.08,-0.81,341.64,195.55,170.08
-0.67,0.05,-1.14,286.02,182.48,175.35,-0.87,0.08,-1.03,318.38,187.79,176.38
-0.68,0.05,-1.14,286.33,183.26,174.21,-0.87,0.05,-1.26,296.79,194.54,167.40
-0.68,0.04,-1.15,286.58,183.66,173.56,-0.86,0.09,-1.52,275.54,205.62,143.25
-0.68,0.04,-1.15,286.90,182.79,174.35,-0.85,0.13,-1.64,280.80,312.50,34.11
-0.69,0.03,-1.15,287.88,181.27,175.49,-0.85,0.09,-1.65,274.92,294.44,60.19
-0.69,0.03,-1.16,291.71,177.05,178.74,-0.85,0.05,-1.68,280.23,189.20,165.17
-0.68,0.04,-1.16,303.06,171.75,184.78,-0.85,0.04,-1.68,282.96,194.28,158.14
-0.67,0.05,-1.19,331.72,170.84,184.83,-0.85,0.04,-1.68,284.73,202.11,149.42
-0.65,0.09,-1.31,328.32,163.22,173.76,-0.85,0.04,-1.68,284.95,205.55,145.60
-0.64,0.07,-1.51,308.36,168.77,169.06,-0.85,0.04,-1.68,285.17,208.10,142.93
-0.64,0.06,-1.76,287.31,162.68,181.42,-0.85,0.04,-1.68,285.12,203.23,147.50
-0.67,0.11,-2.00,276.16,113.26,241.35,-0.85,0.04,-1.68,285.41,201.06,149.79
-0.70,0.14,-2.13,276.82,57.63,302.83,-0.85,0.03,-1.68,286.02,199.36,151.76
-0.72,0.13,-2.18,280.45,73.89,278.38,-0.85,0.03,-1.68,286.97,195.74,155.95
-0.74,0.10,-2.19,272.29,348.84,1.26,-0.85,0.03,-1.69,289.09,193.72,158.23
-0.75,0.06,-2.21,284.78,168.25,182.43,-0.85,0.03,-1.69,297.95,196.34,157.64
-0.75,0.05,-2.22,285.90,172.83,176.02,-0.86,0.04,-1.72,323.74,199.43,158.53
-0.75,0.05,-2.22,285.55,171.73,177.32,-0.88,0.06,-1.78,346.79,205.85,154.20
-0.75,0.05,-2.22,285.61,172.86,175.98,-0.94,0.06,-1.99,320.80,197.04,170.13
-0.75,0.05,-2.22,285.66,173.59,174.90,-0.95,0.05,-2.23,297.52,193.98,168.31
-0.75,0.05,-2.22,285.80,170.91,177.72,-0.92,0.06,-2.44,283.58,187.86,158.68
-0.75,0.04,-2.22,286.18,168.59,180.05,-0.86,0.10,-2.61,276.55,158.83,170.83
-0.75,0.04,-2.22,286.75,167.36,181.20,-0.82,0.13,-2.70,274.90,253.32,77.93
-0.75,0.04,-2.22,287.26,166.54,181.92,-0.80,0.12,-2.72,275.92,256.68,75.57
-0.75,0.04,-2.22,287.81,165.57,182.74,-0.76,0.08,-2.70,271.45,230.04,88.48
-0.75,0.04,-2.23,289.32,164.58,183.40,-0.74,0.05,-2.72,284.00,150.93,166.58
-0.75,0.04,-2.23,294.46,160.04,187.46,-0.74,0.04,-2.71,283.97,145.12,170.44
-0.75,0.04,-2.23,301.85,158.72,188.79,-0.74,0.04,-2.71,285.37,137.74,178.03
-0.74,0.04,-2.24,313.57,159.57,188.61,-0.73,0.04,-2.71,286.01,135.07,180.95
-0.73,0.05,-2.26,333.12,154.20,186.88,-0.73,0.04,-2.71,286.11,135.25,180.85
-0.72,0.07,-2.33,324.57,143.77,176.04,-0.73,0.04,-2.71,286.25,137.48,178.36
-0.71,0.07,-2.43,313.97,138.70,179.79,-0.73,0.04,-2.71,286.49,141.89,173.72
-0.70,0.07,-2.50,308.48,135.28,181.59,-0.73,0.04,-2.71,286.64,144.22,171.31
-0.67,0.08,-2.54,305.74,132.26,179.19,-0.73,0.04,-2.71,286.57,141.33,174.42
-0.65,0.08,-2.58,303.70,132.80,180.26,-0.73,0.04,-2.71,286.32,139.69,176.25
